2024-08-17 18:12:22 - Head: (10, 11), Food: (17, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:22 - Head: (10, 12), Food: (17, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:22 - Head: (10, 13), Food: (17, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:22 - Head: (10, 14), Food: (17, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:22 - Head: (10, 15), Food: (17, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:22 - Head: (10, 16), Food: (17, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:22 - Head: (10, 17), Food: (17, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:22 - Head: (10, 18), Food: (17, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:22 - Head: (10, 19), Food: (17, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:23 - Head: (10, 0), Food: (17, 1), Move: (0, 1), Confidence: 100.00%
2024-08-17 18:12:23 - Head: (10, 1), Food: (17, 1), Move: (0, 1), Confidence: 82.38%
2024-08-17 18:12:23 - Head: (9, 1), Food: (17, 1), Move: (-1, 0), Confidence: 88.36%
2024-08-17 18:12:23 - Head: (8, 1), Food: (17, 1), Move: (-1, 0), Confidence: 94.98%
2024-08-17 18:12:23 - Head: (7, 1), Food: (17, 1), Move: (-1, 0), Confidence: 97.88%
2024-08-17 18:12:23 - Head: (6, 1), Food: (17, 1), Move: (-1, 0), Confidence: 99.12%
2024-08-17 18:12:23 - Head: (5, 1), Food: (17, 1), Move: (-1, 0), Confidence: 99.72%
2024-08-17 18:12:23 - Head: (4, 1), Food: (17, 1), Move: (-1, 0), Confidence: 99.93%
2024-08-17 18:12:23 - Head: (3, 1), Food: (17, 1), Move: (-1, 0), Confidence: 99.99%
2024-08-17 18:12:23 - Head: (2, 1), Food: (17, 1), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:24 - Head: (1, 1), Food: (17, 1), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:24 - Head: (0, 1), Food: (17, 1), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:24 - Head: (19, 1), Food: (17, 1), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:24 - Head: (18, 1), Food: (17, 1), Move: (-1, 0), Confidence: 99.98%
2024-08-17 18:12:24 - Head: (17, 1), Food: (17, 1), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:24 - Snake ate food! New length: 2
2024-08-17 18:12:24 - Head: (16, 1), Food: (1, 2), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:24 - Head: (15, 1), Food: (1, 2), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:24 - Head: (14, 1), Food: (1, 2), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:24 - Head: (13, 1), Food: (1, 2), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:24 - Head: (12, 1), Food: (1, 2), Move: (-1, 0), Confidence: 100.00%
2024-08-17 18:12:25 - Head: (11, 1), Food: (1, 2), Move: (-1, 0), Confidence: 99.97%
2024-08-17 18:12:25 - Head: (10, 1), Food: (1, 2), Move: (-1, 0), Confidence: 88.37%
2024-08-17 18:12:25 - Head: (10, 2), Food: (1, 2), Move: (0, 1), Confidence: 95.34%
2024-08-17 18:12:25 - Head: (11, 2), Food: (1, 2), Move: (1, 0), Confidence: 100.00%
2024-08-17 18:12:25 - Head: (12, 2), Food: (1, 2), Move: (1, 0), Confidence: 100.00%
2024-08-17 18:12:25 - Head: (13, 2), Food: (1, 2), Move: (1, 0), Confidence: 100.00%
2024-08-17 18:12:25 - Head: (14, 2), Food: (1, 2), Move: (1, 0), Confidence: 100.00%
2024-08-17 18:12:25 - Head: (15, 2), Food: (1, 2), Move: (1, 0), Confidence: 100.00%
2024-08-17 18:12:25 - Head: (16, 2), Food: (1, 2), Move: (1, 0), Confidence: 100.00%
2024-08-17 18:12:25 - Head: (17, 2), Food: (1, 2), Move: (1, 0), Confidence: 100.00%
2024-08-17 18:12:26 - Head: (18, 2), Food: (1, 2), Move: (1, 0), Confidence: 100.00%
2024-08-17 18:12:26 - Head: (19, 2), Food: (1, 2), Move: (1, 0), Confidence: 100.00%
2024-08-17 18:12:26 - Head: (0, 2), Food: (1, 2), Move: (1, 0), Confidence: 100.00%
2024-08-17 18:12:26 - Head: (1, 2), Food: (1, 2), Move: (1, 0), Confidence: 60.83%
2024-08-17 18:12:26 - Snake ate food! New length: 3
2024-08-17 18:12:26 - Head: (2, 2), Food: (11, 7), Move: (1, 0), Confidence: 84.41%
2024-08-17 18:12:26 - Head: (3, 2), Food: (11, 7), Move: (1, 0), Confidence: 86.92%
2024-08-17 18:12:26 - Head: (4, 2), Food: (11, 7), Move: (1, 0), Confidence: 88.90%
2024-08-17 18:12:26 - Head: (5, 2), Food: (11, 7), Move: (1, 0), Confidence: 90.43%
